status,price,bed,bath,acre_lot,full_address,street,city,state,zip_code,house_size,sold_date
for_sale,169900,2,2,,"420 Main St Apt 42, Agawam, MA, 01001",420 Main St Apt 42,Agawam,Massachusetts,1001,892,4/30/19
for_sale,525000,3,3,0.45,"955 River Rd, Agawam, MA, 01001",955 River Rd,Agawam,Massachusetts,1001,2314,6/25/14
for_sale,289900,3,2,0.36,"82 Harvey Johnson Dr, Agawam, MA, 01001",82 Harvey Johnson Dr,Agawam,Massachusetts,1001,1276,10/12/12
for_sale,239900,2,3,,"15 Ash Ln Unit 15, Agawam, MA, 01001",15 Ash Ln Unit 15,Agawam,Massachusetts,1001,1229,6/7/16
for_sale,175000,2,2,,"418 Meadow St Unit A4, Agawam, MA, 01001",418 Meadow St Unit A4,Agawam,Massachusetts,1001,1056,9/12/19
for_sale,195000,2,2,,"45 Corey Colonial Unit 45, Agawam, MA, 01001",45 Corey Colonial Unit 45,Agawam,Massachusetts,1001,960,12/14/18
for_sale,275000,3,2,0.16,"5 Bedford Ct Unit 5, Amherst, MA, 01002",5 Bedford Ct Unit 5,Amherst,Massachusetts,1002,1280,8/19/21
for_sale,232000,2,1,,"24 Green Leaves Dr Unit 440, Amherst, MA, 01002",24 Green Leaves Dr Unit 440,Amherst,Massachusetts,1002,899,6/15/21
for_sale,619900,4,3,,"32 N Prospect St Apt 2, Amherst, MA, 01002",32 N Prospect St Apt 2,Amherst,Massachusetts,1002,3200,8/14/20
for_sale,234900,2,2,,"27 Green Leaves Dr Unit 704, Amherst, MA, 01002",27 Green Leaves Dr Unit 704,Amherst,Massachusetts,1002,979,12/2/21
for_sale,240000,2,1,0.28,"68 Blanchwood Ave, Chicopee, MA, 01013",68 Blanchwood Ave,Chicopee,Massachusetts,1013,1207,11/29/11
for_sale,175000,2,1,,"58 Robinridge Rd Unit 58, Chicopee, MA, 01022",58 Robinridge Rd Unit 58,Chicopee,Massachusetts,1022,884,8/29/18
for_sale,339000,6,2,0.23,"27 Morgan St, Holyoke, MA, 01040",27 Morgan St,Holyoke,Massachusetts,1040,2399,9/5/17
for_sale,229900,2,1,,"40 Ware Rd Apt 20, Belchertown, MA, 01007",40 Ware Rd Apt 20,Belchertown,Massachusetts,1007,864,9/10/21
for_sale,545000,2,2,,"90 Pomeroy Ter Apt 5, Northampton, MA, 01060",90 Pomeroy Ter Apt 5,Northampton,Massachusetts,1060,1700,11/4/11
for_sale,299900,5,3,0.32,"11 N Main St, Belchertown, MA, 01007",11 N Main St,Belchertown,Massachusetts,1007,1850,12/14/12
for_sale,229900,2,1,,"40 Ware Rd Apt 20, Belchertown, MA, 01007",40 Ware Rd Apt 20,Belchertown,Massachusetts,1007,864,9/10/21
for_sale,330000,2,3,30,"111 Daniel Shays Hwy Unit 19, Belchertown, MA, 01007",111 Daniel Shays Hwy Unit 19,Belchertown,Massachusetts,1007,2130,6/27/13
for_sale,329900,2,2,,"111 Daniel Shays Hwy Unit 6, Belchertown, MA, 01007",111 Daniel Shays Hwy Unit 6,Belchertown,Massachusetts,1007,1190,9/28/18
for_sale,100000,,,0.94,"270 Turkey Hill Rd Lot 1, Belchertown, MA, 01007",270 Turkey Hill Rd Lot 1,Belchertown,Massachusetts,1007,,11/5/21
for_sale,100000,,,0.94,"270 Turkey Hill Rd Lot 1, Belchertown, MA, 01007",270 Turkey Hill Rd Lot 1,Belchertown,Massachusetts,1007,,11/5/21
for_sale,160000,5,2,1.27,"475 E Main St, Orange, MA, 01364",475 E Main St,Orange,Massachusetts,1364,1495,4/29/11
for_sale,77500,,,0.29,"51 Union St, Greenfield, MA, 01301",51 Union St,Greenfield,Massachusetts,1301,,8/2/13
for_sale,299000,1,1,,"25 New South St Apt 201, Northampton, MA, 01060",25 New South St Apt 201,Northampton,Massachusetts,1060,773,7/9/19
for_sale,350000,2,1,,"29 Pleasant St Apt 2, Northampton, MA, 01060",29 Pleasant St Apt 2,Northampton,Massachusetts,1060,1572,10/29/19
for_sale,139000,3,2,0.05,"137 N East St, Holyoke, MA, 01040",137 N East St,Holyoke,Massachusetts,1040,1644,1/18/18
for_sale,289900,5,2,0.15,"50 Saint James Ave, Chicopee, MA, 01020",50 Saint James Ave,Chicopee,Massachusetts,1020,2316,9/28/20
for_sale,171900,2,1,,"1088 James St Unit 1088, Chicopee, MA, 01022",1088 James St Unit 1088,Chicopee,Massachusetts,1022,824,2/29/12
for_sale,330000,2,3,30,"111 Daniel Shays Hwy Unit 19, Belchertown, MA, 01007",111 Daniel Shays Hwy Unit 19,Belchertown,Massachusetts,1007,2130,6/27/13
for_sale,169500,1,1,,"18 Lynwood Dr Unit 18, Chicopee, MA, 01022",18 Lynwood Dr Unit 18,Chicopee,Massachusetts,1022,884,8/18/20
for_sale,279900,3,1,0.13,"3 Fenton St, Holyoke, MA, 01040",3 Fenton St,Holyoke,Massachusetts,1040,1456,10/21/19
for_sale,400000,4,3,0.46,"125 Abbey St, South Hadley, MA, 01075",125 Abbey St,South Hadley,Massachusetts,1075,2108,9/21/21
for_sale,500000,4,5,1.02,"67 Cold Hill Rd, Granby, MA, 01033",67 Cold Hill Rd,Granby,Massachusetts,1033,2396,1/9/15
for_sale,299900,5,3,0.32,"11 N Main St, Belchertown, MA, 01007",11 N Main St,Belchertown,Massachusetts,1007,1850,12/14/12
for_sale,379900,5,2,0.85,"82 Abbey St, South Hadley, MA, 01075",82 Abbey St,South Hadley,Massachusetts,1075,1605,2/13/17
for_sale,379900,4,2,0.62,"45 Hunter Rd, Ludlow, MA, 01056",45 Hunter Rd,Ludlow,Massachusetts,1056,1988,8/11/16
for_sale,300000,6,4,0.16,"76 Muzzy St, Chicopee, MA, 01020",76 Muzzy St,Chicopee,Massachusetts,1020,2844,12/30/19
for_sale,349900,4,1,0.91,"106 Plain St, Easthampton, MA, 01027",106 Plain St,Easthampton,Massachusetts,1027,1404,9/23/21
for_sale,240000,3,2,0.16,"1565 Carew St, Springfield, MA, 01104",1565 Carew St,Springfield,Massachusetts,1104,1284,8/26/11
for_sale,234900,2,2,,"27 Green Leaves Dr Unit 704, Amherst, MA, 01002",27 Green Leaves Dr Unit 704,Amherst,Massachusetts,1002,979,12/2/21
for_sale,289900,3,1,0.26,"339 Jarvis Ave, Holyoke, MA, 01040",339 Jarvis Ave,Holyoke,Massachusetts,1040,1096,5/10/19
