Date,Age,Intellectual Disability,Hard of Hearing,Deaf,SPeech or Language Impairment,Visual Imapairment,Emotional Disturbance,Orthopedic Impairment,Other Health Impairment,Specific Learning Disability,Deaf- Blindness,Multiple Disability,Autism,Traumatic Brain Injury
12/1/18,0,*,22,*,0,0,0,*,*,0,0,0,0,0
12/1/18,1,*,47,*,*,*,0,12,12,0,0,0,0,0
12/1/18,2,13,32,*,*,*,0,*,*,0,0,*,*,0
12/1/18,3,27,24,*,406,*,0,*,43,0,0,13,232,0
12/1/18,4,23,12,*,572,*,0,17,56,0,0,13,328,*
12/1/18,5,37,15,*,655,12,*,12,78,12,0,14,367,*
12/1/18,6,54,21,*,667,11,12,22,128,94,0,*,408,*
12/1/18,7,66,12,*,746,*,26,17,185,259,0,11,345,*
12/1/18,8,69,23,*,643,*,41,16,221,589,0,18,374,*
12/1/18,9,76,28,*,602,12,40,18,253,810,0,*,298,*
12/1/18,10,66,27,*,485,14,80,24,286,"1,039",0,25,358,*
12/1/18,11,79,23,*,331,13,93,26,298,"1,186",0,14,295,0
12/1/18,12,121,34,*,207,*,71,18,352,"1,146",*,20,289,*
12/1/18,13,98,16,*,162,*,98,17,333,"1,074",0,12,274,*
12/1/18,14,99,22,*,98,*,105,16,363,"1,042",0,13,272,0
12/1/18,15,110,20,*,77,15,124,18,333,"1,069",*,15,275,*
12/1/18,16,107,19,*,43,*,179,19,332,"1,022",0,*,278,*
12/1/18,17,100,19,*,39,20,175,21,364,"1,009",*,11,277,*
12/1/18,18,88,*,*,15,*,58,22,107,324,0,16,144,*
12/1/18,19,83,*,*,0,*,*,*,12,36,0,12,83,*
12/1/18,20,90,0,*,*,*,*,*,*,*,0,*,88,*
12/1/18,21,74,*,0,0,0,*,*,*,*,0,*,83,0
12/1/18,22,13,0,0,0,0,0,*,*,0,0,*,13,0
12/1/17,0,*,25,*,0,*,0,*,*,0,0,0,0,0
12/1/17,1,13,38,*,0,*,0,*,*,0,0,*,0,0
12/1/17,2,11,47,*,*,*,0,11,*,0,0,*,*,0
12/1/17,3,23,12,*,380,*,0,13,40,0,0,*,228,0
12/1/17,4,29,13,*,592,*,0,17,59,0,0,12,314,*
12/1/17,5,40,18,*,616,*,*,23,81,*,0,*,373,*
12/1/17,6,57,12,*,754,*,12,14,126,73,0,12,333,*
12/1/17,7,61,22,*,694,*,23,18,172,278,0,13,373,*
12/1/17,8,69,28,*,704,12,31,22,194,534,0,*,301,*
12/1/17,9,69,26,*,626,14,65,24,251,887,0,21,354,*
12/1/17,10,80,21,11,504,16,78,21,287,"1,052",0,14,303,0
12/1/17,11,119,32,*,355,*,60,20,330,"1,126",*,20,306,*
12/1/17,12,91,20,*,233,*,74,19,298,"1,084",0,14,282,*
12/1/17,13,96,28,*,151,*,90,14,323,"1,080",*,13,271,*
12/1/17,14,108,19,*,131,12,89,20,293,"1,053",*,15,262,*
12/1/17,15,108,18,*,73,*,146,18,319,"1,028",0,*,275,*
12/1/17,16,99,20,*,58,21,170,24,355,"1,047",*,12,277,*
12/1/17,17,92,12,*,33,*,153,29,304,971,0,16,234,*
12/1/17,18,92,*,*,*,*,51,15,92,336,0,12,114,*
12/1/17,19,98,0,*,*,*,14,*,14,43,0,*,93,*
12/1/17,20,77,*,0,0,0,*,*,*,14,0,*,83,*
12/1/17,21,94,0,*,*,*,*,*,*,*,0,*,81,*
12/1/17,22,11,0,0,*,*,0,0,*,*,0,*,16,0
12/1/16,0,13,18,*,0,*,0,*,0,0,0,*,0,0
12/1/16,1,*,46,*,0,*,0,*,*,0,0,*,0,0
12/1/16,2,14,31,*,*,*,0,*,*,0,0,0,*,0
12/1/16,3,20,12,*,377,*,0,14,48,0,0,11,221,*
12/1/16,4,30,18,*,565,*,0,26,49,*,0,*,306,*
12/1/16,5,53,11,*,686,0,*,18,67,*,0,*,294,*
12/1/16,6,57,21,*,716,*,*,22,108,81,0,12,354,*
12/1/16,7,59,23,*,767,11,25,24,150,270,0,*,293,*
